"ID","Cluster"
"168320","4"
"167943","1"
"166072","3"
"165501","1"
"165109","1"
"160741","3"
"159240","1"
"159171","1"
"159145","4"
"156519","1"
"148711","3"
"148122","3"
"148119","2"
"147782","1"
"147621","1"
"146482","1"
"146439","4"
"142902","2"
"142784","1"
"140233","2"
"139062","2"
"137809","4"
"137677","2"
"137351","1"
"135451","2"
"121933","2"
"52091","1"
"49031","2"
"45186","1"
"8473","1"
"6826","1"
"80","1"
"229909","2"
"228941","1"
"228687","1"
"227950","3"
"227796","1"
"227234","1"
"226753","2"
"225199","1"
"225028","1"
"223874","1"
"223627","4"
"223061","1"
"223033","3"
"222943","1"
"222558","1"
"222509","1"
"221992","1"
"221540","3"
"221087","2"
"219985","1"
"219932","1"
"219576","1"
"219411","1"
"217877","1"
"216778","3"
"216547","1"
"216497","1"
"216475","1"
"216189","1"
"216065","2"
"215353","4"
"215333","4"
"215061","4"
"215051","3"
"214977","1"
"213582","1"
"213400","1"
"213135","4"
"212977","3"
"212911","1"
"212230","1"
"212198","1"
"212153","1"
"211119","1"
"210930","1"
"210679","3"
"210333","1"
"210282","1"
"209997","3"
"209989","1"
"209307","2"
"208574","1"
"208450","1"
"208230","1"
"208135","1"
"207939","1"
"207877","1"
"207862","1"
"207494","1"
"206591","1"
"206225","1"
"206222","3"
"206198","3"
"205633","1"
"205569","1"
"205114","1"
"204923","1"
"204884","1"
"204838","4"
"204819","4"
"204240","2"
"204077","1"
"203980","1"
"203895","1"
"203627","1"
"203605","1"
"203535","1"
"203362","4"
"203106","1"
"202849","1"
"202648","1"
"202325","1"
"201878","1"
"201508","1"
"201505","1"
"201455","1"
"201325","2"
"201144","1"
"201143","3"
"201119","1"
"201095","2"
"201013","4"
"200798","2"
"200726","2"
"200529","4"
"200318","4"
"200215","1"
"199767","1"
"199626","1"
"199304","1"
"199069","4"
"199042","1"
"198706","1"
"198614","3"
"198584","3"
"198329","1"
"198140","1"
"197225","1"
"197083","1"
"196889","1"
"196432","1"
"196150","4"
"195671","4"
"194996","4"
"194932","1"
"194845","1"
"193601","3"
"193584","4"
"193283","1"
"192991","4"
"192984","2"
"192841","1"
"192722","1"
"192620","1"
"192557","1"
"192476","1"
"191032","1"
"190799","1"
"190531","3"
"190507","3"
"189682","3"
"189681","1"
"189606","1"
"189506","1"
"189423","1"
"189354","1"
"189296","2"
"189157","1"
"188879","3"
"188840","1"
"188829","1"
"188427","1"
"188268","1"
"188135","1"
"188103","1"
"187736","1"
"187702","1"
"187607","4"
"187366","1"
"187052","1"
"186832","1"
"186805","1"
"186581","1"
"186345","1"
"186302","1"
"186115","1"
"184134","1"
"183871","1"
"183568","3"
"183394","1"
"183332","1"
"183249","4"
"183125","4"
"182879","1"
"182862","1"
"182836","4"
"182744","1"
"181262","3"
"180826","1"
"180714","2"
"180283","1"
"178625","1"
"178322","1"
"178160","1"
"178085","1"
"178031","1"
"178007","1"
"177983","3"
"176930","1"
"176919","2"
"176619","4"
"175895","1"
"174549","1"
"172049","1"
"170815","1"
"170369","1"
"169706","1"
"147660","2"
"153296","1"
"124375","4"
"161754","1"
"169181","2"
"155887","1"
"164082","1"
"155897","4"
"160000","4"
"185090","1"
"195586","1"
"197891","1"
"220932","2"
"183556","3"
"200197","1"
"210950","4"
"188166","1"
"193290","1"
"231691","2"
"192012","3"
"146701","1"
"161805","1"
"205070","1"
"156432","4"
"52752","1"
"183569","1"
"202515","1"
"146963","1"
"205590","1"
"210455","1"
"181271","1"
"230168","2"
"184089","1"
"205850","4"
"230938","1"
"45595","3"
"205340","3"
"229148","1"
"109852","3"
"216349","1"
"225309","1"
"185373","1"
"139038","3"
"149791","1"
"230431","1"
"194079","1"
"198688","1"
"173857","2"
